uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
7218,AYE Finance,Manufacturing,Handicraft,Handicraft,7,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Partial payment,Do Not Know,No customers due to lockdown,"No, but not able to pay them",,,No,Fully confident,0,,4-6 months,Do not know any,,,,Male,No,50,2,,1 2 6 7 8,,1,2,,,,5,3,,,7,,,,,,,,,,,,,,,,,,,,
7221,AYE Finance,Manufacturing,Handicraft,Handicraft,15,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Partly Operational,2 4 7,,8,0,8,,,Y,,,,,Worse than expected,0,Decreased,100,Others,"No estimates, depends on the market reopening",Yes,Yes,3,No,,No,Do Not Know,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,0,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,2,,1 2 -888,Ghar par hi handicraft ka kam,2,3,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,
7223,AYE Finance,Manufacturing,Handicraft,Handicraft,35,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,0,,Uncertain,Do not know any,,,,Male,Yes,,2 4,,1 2 6,,1,2,,,,3,,,,3,,,> 3 years,Increased,5,,4 5,,,,,,,,,,,,,
7224,AYE Finance,Manufacturing,Handicraft,Handicraft,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Partly Operational,2 3 -888,Increase in raw material cost,0,0,0,Y,,,,,,,Worse than expected,0,Remained the same,,Don't have any cash reserves,,Yes,Yes,3,Yes,50000,Refuse To Answer,Refuse To Answer,No,No,,,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2 3,,1 2 6 8 -888,Handicraft,1,3,,,,5,,,2,7,,,,,,,,,,,,,,,,,,,,
7225,AYE Finance,Manufacturing,Handicraft,Handicraft,25,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,120000,Partial payment,Partial payment,No customers due to lockdown,No,,,Yes,Somewhat confident,0,,0-3 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,4,,1 2 6 8,,1,2,,,,4,,,,3 4,,,> 3 years,Increased,3 4,,3 4 5,,,,,,,,,,,,,
7226,AYE Finance,Manufacturing,Handicraft,Handicraft,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Partly Operational,1 2 4,,1,0,1,Y,,,,,,,Same as expected,25,Remained the same,,Others,Uncertain,No,,,No,,No,No,Yes,"No, but not able to pay them",,,No,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2 4,,1 4 8 -888,Mitti ka saman banaya he,1,,,3,,,,,2,7,,,,,,,,,,,,,,,,,,,,
7228,AYE Finance,Manufacturing,Handicraft,Handicraft,25,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,50000,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,0,,0-3 months,Do not know any,,,,Male,No,100,2 4,,1 4 -888,Handicraft ka kam,1,,,3,,,,,2,3 4,,,> 3 years,Remained the same,5,,3 4,,,,,,,,,,,,,
7229,AYE Finance,Manufacturing,Handicraft,Handicraft,15,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,Yes,Partly Operational,1 2 3 4,,3,0,3,,Y,,,,,,Worse than expected,20,Remained the same,,Enough to survive 2 months,,No,,,No,,No,No,Only partially,"No, but not able to pay them",,,No,Somewhat confident,0,,0-3 months,No,,Requirements not fulfilled,,Male,No,100,2 4,,1 2 4 8 -888,Handicraft ka kam,2,3,,4,,,,,1,7,,,,,,,,,,,,,,,,,,,,
7230,AYE Finance,Manufacturing,Handicraft,Handicraft,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Partly Operational,1 2 3,,2,0,2,,Y,,,,,,Worse than expected,25,Decreased,50,Enough to survive 2 months,,No,,,No,,No,Do Not Know,"Yes, but with delay","No, but not able to pay them",,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,No,100,2 4,,1 2 6 8 -888,Handicraft,1,3,,,,5,,,2,7,,,,,,,,,,,,,,,,,,,,
7233,AYE Finance,Manufacturing,Handicraft,Handicraft,20,New Delhi,Delhi,North India,No,Female,Home based business,,Non Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,No,No,No customers due to lockdown,Yes,0,1,No,Somewhat confident,0,,Uncertain,Do not know any,,,,Female,Yes,,2 3 4,,1 2 4 8,,1,2,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,
7234,AYE Finance,Manufacturing,Handicraft,Handicraft,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Partly Operational,1 2 3,,0,0,0,Y,,,,,,,Same as expected,50,Remained the same,,Others,"No estimates, depends on the market reopening",No,,,Yes,40000,Refuse To Answer,Refuse To Answer,Yes,No,,,No,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2,,1 2 8 -888,Handicraft ka kam,2,3,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,
7235,AYE Finance,Manufacturing,Handicraft,Handicraft,8,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Partly Operational,1 2 3 4,,2,0,2,,Y,,,,,,Worse than expected,20,Remained the same,,Others,"No estimates, depends on the market reopening",Yes,Yes,1,Yes,35000,No,No,Yes,Yes,0,2,No Loan,Not confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2 4,,1 2 6 8 -888,Handicraft ka kam,1,3,,,,4,,,2,7,,,,,,,,,,,,,,,,,,,,
7236,AYE Finance,Manufacturing,Handicraft,Handicraft,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No customers due to lockdown,Yes,0,3,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2 4,,1 2 6 8 -888,Handicraft ka kam,4,2,,,,5,,,1,3 4,,,1-2 years,Increased,4,,4 5,,,,,,,,,,,,,
7238,AYE Finance,Manufacturing,Handicraft,Handicraft,20,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,2,3,5,,,Y,,,,,Worse than expected,,,,Enough to survive 3 months or more,,No,,,Yes,60000,No,Do Not Know,No customers due to lockdown,"No, but not able to pay them",,,No Loan,Somewhat confident,0,,0-3 months,Do not know any,,,,Male,Yes,,2,,1 2 6 8 -888,Handicraft ka work,1,2,,,,4,,,3,3 4,,,> 3 years,Increased,4,,3,,,,,,,,,,,,,
7239,AYE Finance,Manufacturing,Handicraft,Handicraft,16,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Fully confident,0,,0-3 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,2 4,,1 2 7 8 -888,Handicraft ka kam,1,3,,,,,5,,2,7,,,,,,,,,,,,,,,,,,,,
7240,AYE Finance,Manufacturing,Handicraft,Handicraft,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,12,0,12,,,,Y,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,1 2,Yes,25000,No,No,No customers due to lockdown,Yes,0,12,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,3 4,,1 2 6 8,,3,1,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
7242,AYE Finance,Manufacturing,Handicraft,Handicraft,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Worse than expected,,,,Others,"No estimates, depends on the market reopening",Yes,Yes,1,Yes,30000,No,No,No customers due to lockdown,Yes,0,12,Yes,Somewhat confident,0,,Uncertain,No,,Others,Applications get rejected,Male,Yes,,2 3 4,,1 2 6 8,,1,2,,,,3,,,,3 4,,,> 3 years,Increased,4,,4 5,,,,,,,,,,,,,
7243,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Female,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,6,0,6,,,Y,,,,,Worse than expected,,,,Others,Uncertain,No,,,Yes,40000,No,No,No customers due to lockdown,"No, but not able to pay them",,,No,Somewhat confident,0,,> 6 months,Yes,Bank me,,,Female,No,100,2 4,,1 2 6 8,,1,2,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7245,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,45,New Delhi,Delhi,North India,Yes,Female,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,6,0,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,,No,No,No customers due to lockdown,Yes,0,6,Yes,Somewhat confident,0,,Uncertain,No,,Did not find beneficial enough,,Female,No,100,2 4,,1 2 6 8,,1,2,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
7246,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,28,New Delhi,Delhi,North India,Yes,Female,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,6,0,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,,No,No,No customers due to lockdown,"No, but not able to pay them",,,No Loan,Somewhat confident,0,,Uncertain,No,,Banks/MFI/NBFC not lending,,Female,No,100,2 3 4,,1 2 6 8,,1,2,,,,3,,,,3 4,,,> 3 years,Increased,4,,4 5,,,,,,,,,,,,,
7247,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,4,2,6,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,50000,No,No,No customers due to lockdown,No,,,Yes,Somewhat confident,2,,4-6 months,Yes,government se,,,Male,Yes,,4,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
7248,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,100000,Partial payment,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,2,,4-6 months,Yes,Bank se,,,Male,Yes,,1 2 4,,4 6 8,,,,,1,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7256,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Better than expected,,,,Enough to survive 1 month,,No,,,Yes,60000,Partial payment,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Fully confident,2,,> 6 months,Yes,Bank se,,,Male,Yes,,2 4,,2 6 8,,,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7262,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,13,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,25000,Partial payment,No,No customers due to lockdown,No,,,Yes,Not confident,1 2,,> 6 months,Yes,Bank se,,,Male,Yes,,2 4,,4 6 8,,,,,3,,2,,,,4 5,,,1-2 years,Decreased,4,,3,,,,,,,,,,,,,
7263,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,,No,No,No,No,,,Yes,Somewhat confident,2,,> 6 months,Yes,Bank se,,,Male,Yes,,0,,6 8,,,,,,,1,,,,4,,,1-2 years,Remained the same,4,,3 4,,,,,,,,,,,,,
7264,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,2000,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,2,,> 6 months,Yes,government se,,,Male,Yes,,2 3,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7267,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,5000,No,No,No,No,,,Yes,Not confident,2,,Uncertain,Yes,government se,,,Male,No,50,0,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7269,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,30,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Not confident,2,,> 6 months,Yes,government se,,,Male,Yes,,0,,6 8,,,,,,,1,,,,3 4,,,2-3 years,Decreased,4,,3,,,,,,,,,,,,,
7273,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,100000,Yes full payment,No,No,No,,,Yes,Somewhat confident,2,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,6 8 -888,1 month ramjan tha 5 bar namaj karte the.,,,,,,1,,,2,7,,,,,,,,,,,,,,,,,,,,
7274,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,4,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,20000,No,No,No,No,,,Yes,Not confident,0,,Uncertain,Yes,bank se,,,Male,Yes,,2 3,,2 6 8,,,3,,,,1,,,,3 4,,,1-2 years,Decreased,4,,3,,,,,,,,,,,,,
7278,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,8,2,10,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,100000,Partial payment,No,No,"No, but not able to pay them",,,Yes,Somewhat confident,1 2,,> 6 months,Yes,bank se,,,Male,No,60,0,,2 6 8,,,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7279,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,9,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,Yes full payment,No,No,"No, but not able to pay them",,,Yes,Not confident,2,,> 6 months,Yes,government se,,,Male,Yes,,4,,6 8,,,,,,,1,,,,3 4,,,1-2 years,Remained the same,4,,3,,,,,,,,,,,,,
7281,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No,"No, but not able to pay them",,,Yes,Not confident,2,,0-3 months,Yes,government se,,,Male,Yes,,2 4,,2 6 8,,,1,,,,3,,,,4,,,1-2 years,Do Not Know,4,,3,,,,,,,,,,,,,
7282,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,4,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,35000,No,No,No,No,,,Yes,Somewhat confident,0,,4-6 months,No,,Did not find beneficial enough,,Male,Yes,,0,,2 6 8,,,1,,,,2,,,,3 4,,,1-2 years,Remained the same,4,,3 4,,,,,,,,,,,,,
7285,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,,Partial payment,No,No customers due to lockdown,"No, but not able to pay them",,,No Loan,Somewhat confident,0,,> 6 months,Yes,Bank se,,,Male,Yes,,4,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7286,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,34,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Enough to survive 2 months,,No,,,Yes,25000,Partial payment,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Somewhat confident,0,,> 6 months,Yes,government se,,,Male,No,50,0,,2 6 8,,,2,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7287,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,No,No,No,No,,,Yes,Fully confident,2,,> 6 months,Yes,Bank se,,,Male,Yes,,2,,6 8 -888,Ramjan me jyada namaj me samay bitaya.,,,,,,2,,,1,7,,,,,,,,,,,,,,,,,,,,
7288,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,25000,No,No,No,"No, but not able to pay them",,,No Loan,Somewhat confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,Yes,,2,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
7289,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,,No,No,No,No,,,Yes,Not confident,0,,Uncertain,Yes,government se,,,Male,Yes,,2,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7290,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,13,13,,,,Y,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,No,Partial payment,No,Yes,10,0,Yes,Fully confident,2,,0-3 months,Yes,bank ko,,,Male,Yes,,0,,2 6 8,,,1,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7291,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,25,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,24,0,24,,,,,,Y,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,1,Yes,30000,No,No,No,"No, but not able to pay them",,,Yes,Somewhat confident,0,,> 6 months,Yes,Bank se,,,Male,No,30,2,,2 6 8,,,1,,,,2,,,,3 4,,,2-3 years,Increased,4,,3 5,,,,,,,,,,,,,
7295,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No customers due to lockdown,"No, but not able to pay them",,,Yes,Not confident,2,,Uncertain,Yes,government ko,,,Male,No,80,2 4,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7296,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No customers due to lockdown,No,,,Yes,Somewhat confident,2,,0-3 months,Yes,bank se,,,Male,Yes,,0,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7299,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,60000,No,No,No,"No, but not able to pay them",,,Yes,Not confident,0,,Uncertain,Yes,bank ko,,,Male,Yes,,4,,2 6 8,,,1,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
7302,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,7,0,7,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,12000,No,Do Not Know,No,No,,,Yes,Somewhat confident,2,,0-3 months,Yes,government ko,,,Male,Yes,,4,,2 6 8,,,1,,,,3,,,,3,,,1-2 years,Increased,4,,2 3 4,,,,,,,,,,,,,
7303,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,16,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,2,2,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,25000,No,No,No,No,,,Yes,Not confident,2,,Uncertain,Yes,government ko,,,Male,No,50,0,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7306,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,0,2,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,,No,Do Not Know,No,No,,,No Loan,Fully confident,2,,4-6 months,No,,Did not find beneficial enough,,Male,No,50,0,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7309,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,2,3,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,Partial payment,Do Not Know,No customers due to lockdown,No,,,No Loan,Not confident,0,,0-3 months,Yes,government ko,,,Male,No,35,0,,2 6 8,,,2,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7310,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,5,3,8,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,120000,Partial payment,No,No customers due to lockdown,No,,,Yes,Somewhat confident,0,,> 6 months,Yes,government ko,,,Male,Yes,,0,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7312,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No,"No, but not able to pay them",,,No Loan,Not confident,2 4,,> 6 months,Yes,bank ko,,,Male,Yes,,2,,1 2 6,,2,1,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7314,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,No,No,No,No,,,Yes,Somewhat confident,2,,Uncertain,Yes,government ko,,,Male,Yes,,4,,2 6 8,,,1,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7319,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,,No,Do Not Know,No customers due to lockdown,No,,,No Loan,Not confident,2 4,,Uncertain,Yes,government ko,,,Male,No,50,0,,2 6 8,,,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7322,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,0,10,10,,,,Y,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,Do Not Know,No customers due to lockdown,"No, but not able to pay them",,,Yes,Not confident,2 4,,4-6 months,Yes,government ko,,,Male,Yes,,4,,1 6 8,,3,,,,,1,,,,3 4,,,2-3 years,Increased,4,,3 4 5,,,,,,,,,,,,,
